Station: Bern-Bollwerk
Urbain, trafic
Moyennes horaires, PREC: Sommes horaires
heure d'hiver
Source:: NABEL/MeteoSchweiz
Date/heure;O3 [痢/m設;NO2 [痢/m設;CO [mg/m設;PM10 [痢/m設;CPC [1/cm設;EC [痢/m設;NOX [痢/m設;TEMP [蚓];PREC [mm];RAD [W/m淫
01.01.2016 01:00;1.8;47.6;0.68;74.8;25382.6;;138.7;5.0;0.0;-2.0
01.01.2016 02:00;1.6;50.1;0.71;50.5;30044.9;;142.8;5.1;0.0;-2.2
01.01.2016 03:00;1.2;45.5;0.69;48.3;22664.4;;141.2;5.3;0.0;-1.8
01.01.2016 04:00;1.3;46.3;0.63;56.3;30752.3;;139.0;5.1;0.1;-1.8
01.01.2016 05:00;1.2;42.0;0.63;45.5;21896.9;;123.2;5.0;0.0;-2.0
01.01.2016 06:00;1.3;39.0;0.62;40.4;24173.1;;110.9;4.8;0.0;-2.6
01.01.2016 07:00;1.9;34.7;0.58;34.3;29777.9;;90.0;4.2;0.0;-1.9
01.01.2016 08:00;7.0;25.4;0.39;26.6;9021.1;;41.9;4.1;0.0;-0.8
01.01.2016 09:00;8.7;24.4;0.35;22.8;8175.1;;42.3;4.3;0.0;3.3
01.01.2016 10:00;9.8;27.1;0.39;21.9;9005.8;;56.1;4.4;0.0;50.9
01.01.2016 11:00;27.1;13.0;0.29;13.6;5314.2;;20.8;4.8;0.0;133.4
01.01.2016 12:00;28.7;13.5;0.29;11.1;4274.1;;21.4;5.0;0.0;94.5
01.01.2016 13:00;34.2;12.1;0.29;12.3;3759.1;;18.8;4.8;0.0;89.6
01.01.2016 14:00;33.8;13.4;0.30;13.8;5043.1;;21.0;5.0;0.0;105.1
01.01.2016 15:00;32.1;15.1;0.31;14.5;5080.9;;23.2;5.3;0.0;79.6
01.01.2016 16:00;24.9;20.5;0.35;20.1;6444.4;;29.8;5.0;0.0;22.8
01.01.2016 17:00;16.5;27.6;0.38;24.2;6097.6;;40.1;4.4;0.0;3.7
01.01.2016 18:00;20.0;24.0;0.37;25.6;8004.2;;32.6;4.2;0.0;-0.8
01.01.2016 19:00;22.2;24.0;0.38;25.7;6004.7;;34.4;4.0;0.0;-1.0
01.01.2016 20:00;21.9;24.7;0.35;27.3;6468.9;;35.7;3.9;0.0;-1.2
01.01.2016 21:00;22.6;21.4;0.34;26.1;5104.7;;28.8;3.8;0.0;-1.1
01.01.2016 22:00;20.9;23.0;0.36;24.7;5985.5;;33.7;3.8;0.0;-0.9
01.01.2016 23:00;15.1;28.2;0.39;25.5;8343.7;;48.1;3.9;0.0;-1.3
02.01.2016 00:00;10.7;29.6;0.43;29.6;8582.0;;51.4;3.9;0.0;-1.0
02.01.2016 01:00;10.3;26.0;0.37;30.2;7494.3;;36.9;3.8;0.0;-0.7
02.01.2016 02:00;8.6;24.1;0.38;26.7;6088.9;;37.1;4.0;0.0;-1.1
02.01.2016 03:00;11.6;18.1;0.32;24.8;4372.7;;22.1;3.9;0.0;-0.9
02.01.2016 04:00;17.3;13.1;0.30;21.1;4298.6;;15.7;4.1;0.0;-1.1
02.01.2016 05:00;21.8;14.9;0.30;17.5;4553.2;;22.4;4.5;1.0;-2.4
02.01.2016 06:00;19.9;16.1;0.29;16.1;5742.0;;24.8;4.0;0.1;-1.9
02.01.2016 07:00;10.8;22.7;0.32;17.0;13356.0;;38.9;3.8;0.2;-1.8
02.01.2016 08:00;8.4;22.4;0.35;15.2;10107.6;;46.6;4.2;0.0;-2.3
02.01.2016 09:00;7.2;21.6;0.33;18.3;5804.3;;36.4;3.7;0.2;1.5
02.01.2016 10:00;6.8;25.0;0.34;17.8;8417.1;;50.6;3.9;0.0;27.3
02.01.2016 11:00;9.5;22.4;0.34;16.8;7888.7;;48.0;4.3;0.4;41.9
02.01.2016 12:00;8.4;27.4;0.40;13.0;10851.1;;71.0;4.5;0.2;95.0
02.01.2016 13:00;6.4;30.9;0.41;14.2;9581.4;;78.2;5.1;1.5;39.0
02.01.2016 14:00;9.1;32.7;0.45;11.5;12465.7;;67.3;5.5;0.7;51.7
02.01.2016 15:00;20.0;31.3;0.36;8.9;9877.4;;54.1;5.8;0.4;27.1
02.01.2016 16:00;30.7;31.8;0.34;4.7;9232.8;;51.9;5.5;1.0;7.1
02.01.2016 17:00;23.6;53.5;0.45;3.9;21802.0;;102.7;5.4;0.0;3.0
02.01.2016 18:00;31.8;33.7;0.34;4.7;14644.0;;58.9;4.9;0.0;-2.5
02.01.2016 19:00;20.4;46.2;0.38;5.4;17526.8;;79.2;5.2;0.0;-2.5
02.01.2016 20:00;25.0;33.8;0.37;7.0;13745.5;;48.6;5.2;0.0;-2.2
02.01.2016 21:00;19.5;40.2;0.40;9.2;15816.8;;57.5;5.2;0.0;-2.4
02.01.2016 22:00;12.5;47.0;0.48;12.3;20634.8;;86.3;4.9;0.0;-1.9
02.01.2016 23:00;11.3;39.7;0.49;17.0;19372.7;;83.8;4.5;0.0;-1.7
03.01.2016 00:00;9.3;39.6;0.51;17.3;18484.5;;81.2;4.2;0.0;-1.6
03.01.2016 01:00;10.7;44.6;0.51;14.7;19104.0;;81.0;4.5;0.0;-2.7
